Job Role,Question Number,Question,Answer
Cybersecurity Analyst,1,Explain the CIA Triad.,"The CIA Triad is a security model: 1. Confidentiality (preventing unauthorized disclosure of data, e.g., via encryption). 2. Integrity (ensuring data is accurate and trustworthy, e.g., via hashing). 3. Availability (ensuring systems are accessible to authorized users, e.g., via redundancy)."
Cybersecurity Analyst,2,"What's the difference between a threat, a vulnerability, and a risk?",Vulnerability is a weakness. Threat is a potential danger that could exploit the weakness. Risk is the potential for loss when a threat exploits a vulnerability.
Cybersecurity Analyst,3,Describe the steps in an Incident Response Plan.,The six phases are: 1. Preparation (getting ready before an incident). 2. Identification (detecting an incident). 3. Containment (limiting the damage). 4. Eradication (removing the threat). 5. Recovery (restoring systems). 6. Lessons Learned (post-incident analysis).
Cybersecurity Analyst,4,"What is a firewall, and what are the different types?","A firewall is a network security device that filters traffic based on rules. Types include Packet-Filtering, Stateful Inspection, Proxy, and Next-Generation Firewalls (NGFW)."
Cybersecurity Analyst,5,Explain the difference between symmetric and asymmetric encryption.,"Symmetric encryption uses a single shared key for both encryption and decryption (fast, good for bulk data, e.g., AES). Asymmetric encryption uses a key pair—a public key to encrypt and a private key to decrypt (slower, good for key exchange, e.g., RSA)."
Cybersecurity Analyst,6,"What is a phishing attack, and how can you identify one?","Phishing is a social engineering attack using fraudulent messages to steal credentials or deploy malware. Signs include a sense of urgency, mismatched URLs, poor grammar, and unexpected attachments."
Cybersecurity Analyst,7,What is a SIEM system and why is it important?,"A SIEM (Security Information and Event Management) system collects and analyzes log data from across the network to detect threats, generate alerts, and aid in forensic investigations."
Cybersecurity Analyst,8,Explain the TCP three-way handshake.,It's how TCP establishes a connection: 1. Client sends SYN. 2. Server responds with SYN-ACK. 3. Client responds with ACK.
Cybersecurity Analyst,9,"What is Cross-Site Scripting (XSS), and how do you prevent it?",XSS is a vulnerability where an attacker injects malicious scripts into a trusted website. Prevent it primarily with output encoding (converting special characters like < to &lt;) and by using a Content Security Policy (CSP).
Cybersecurity Analyst,10,How do you stay updated with the latest cybersecurity threats and vulnerabilities?,"By using a multi-pronged approach: Subscribing to threat intelligence feeds (CISA, SANS), reading security news (The Hacker News), following researchers on social media, listening to podcasts, and pursuing continuous learning (certifications, hands-on platforms)."
Cybersecurity Analyst,11,What is the MITRE ATT&CK framework?,"The MITRE ATT&CK framework is a knowledge base of adversary tactics and techniques based on real-world observations. It's used for threat intelligence, threat hunting, and security assessment."
Cybersecurity Analyst,12,Explain the concept of Defense in Depth.,"Defense in Depth is a strategy of using multiple, layered security controls (e.g., firewall, IDS, EDR, encryption). If one layer fails, another is in place to stop an attack. It's the opposite of a single ""castle and moat"" perimeter."
Cybersecurity Analyst,13,What is a DDoS attack and what are some mitigation techniques?,"A DDoS (Distributed Denial-of-Service) attack overwhelms a server with traffic from a ""botnet"". Mitigation includes rate limiting, using a CDN, and employing ""scrubbing services"" to filter malicious traffic."
Cybersecurity Analyst,14,What is the difference between an IDS and an IPS?,"An IDS (Intrusion Detection System) is a passive system that monitors and alerts on suspicious activity. An IPS (Intrusion Prevention System) is an active, inline system that can block malicious traffic."
Cybersecurity Analyst,15,What is digital forensics? What are the basic steps?,"Digital forensics is the process of identifying, preserving, analyzing, and presenting digital evidence. The steps are: Identification, Preservation (Collection), Analysis, Documentation, and Presentation."
Cybersecurity Analyst,16,Explain salting and hashing for password storage.,"Hashing is a one-way function to transform a password. A salt is a unique random string added to each password *before* hashing. Salting ensures that even identical passwords have different hashes, defeating rainbow table attacks."
Cybersecurity Analyst,17,What is the principle of least privilege?,"The Principle of Least Privilege (PoLP) states that a user or process should only have the minimum permissions necessary to perform its function, limiting the potential damage if the account is compromised."
Cybersecurity Analyst,18,What is a Web Application Firewall (WAF)? How is it different from a network firewall?,"A network firewall operates at layers 3/4, filtering traffic by IP/port. A WAF operates at layer 7, inspecting HTTP traffic to protect web applications from attacks like SQL Injection and XSS."
Cybersecurity Analyst,19,What is DNS poisoning/spoofing?,"DNS poisoning is an attack where corrupted data is introduced into a DNS resolver's cache, causing it to return an incorrect IP address and redirecting users to a malicious site. DNSSEC helps prevent this."
Cybersecurity Analyst,20,You've found a critical vulnerability on a live production server. What are your immediate next steps?,"1. Verify the vulnerability and assess its impact. 2. Contain the threat if necessary (e.g., isolate the server), coordinating with system owners. 3. Notify and escalate to stakeholders according to the IR plan. 4. Plan for remediation (patching). 5. Document everything."
Data Scientist,1,Explain the bias-variance tradeoff.,It's a tradeoff between two sources of error. Bias is error from wrong assumptions (underfitting). Variance is error from sensitivity to small fluctuations in training data (overfitting). The goal is to find a model complexity that minimizes total error.
Data Scientist,2,"What is overfitting, and how do you prevent it?","Overfitting is when a model learns the training data, including its noise, too well and performs poorly on new data. Prevent it with: cross-validation, more data, feature selection, regularization (L1/L2), and ensemble methods."
Data Scientist,3,What are Type I and Type II errors?,Type I error (False Positive) is rejecting a true null hypothesis (finding an effect that isn't there). Type II error (False Negative) is failing to reject a false null hypothesis (missing an effect that is there).
Data Scientist,4,Explain the difference between classification and regression.,"Both are supervised learning tasks. Regression predicts a continuous numerical value (e.g., house price). Classification predicts a discrete categorical label (e.g., spam or not spam)."
Data Scientist,5,How do you handle missing data?,"Methods include: Deletion (removing rows/columns), Imputation (filling with mean, median, or using regression/KNN), or treating 'missing' as its own category."
Data Scientist,6,What are Precision and Recall? When would you use one over the other?,"Precision = TP / (TP + FP). It's important when the cost of a false positive is high (e.g., spam filtering). Recall = TP / (TP + FN). It's important when the cost of a false negative is high (e.g., medical diagnosis)."
Data Scientist,7,Explain how a Random Forest model works.,"It's an ensemble method that builds many decision trees on random subsets of data and features. It makes a final prediction by averaging (regression) or voting (classification) among all trees, which reduces variance and overfitting."
Data Scientist,8,What is A/B testing?,"A/B testing is a randomized experiment comparing two versions (A and B) of a feature to see which performs better on a key metric, with the difference evaluated for statistical significance."
Data Scientist,9,You are given a dataset of customer transactions. How would you build a model to predict customer churn?,"1. Define churn. 2. Preprocess data and engineer features (recency, frequency, monetary value). 3. Choose a classification model (e.g., Logistic Regression, Random Forest). 4. Train the model and evaluate using metrics like F1-Score or AUC-ROC due to potential class imbalance. 5. Interpret and deploy."
Data Scientist,10,What's the difference between correlation and causation?,"Correlation is a statistical relationship where two variables move together. Causation means one event is the result of another. Correlation does not imply causation (e.g., ice cream sales and drownings are correlated, but summer heat causes both)."
Data Scientist,11,Explain Gradient Descent.,An iterative optimization algorithm used to find the minimum of a function (like a model's cost function). It repeatedly takes steps in the opposite direction of the gradient (steepest descent) to find the best model parameters.
Data Scientist,12,What is the difference between L1 and L2 regularization?,"Both are regularization techniques to prevent overfitting. L1 (Lasso) adds a penalty on the absolute value of coefficients and can shrink them to exactly zero, performing feature selection. L2 (Ridge) adds a penalty on the squared value and shrinks coefficients close to, but not exactly to, zero."
Data Scientist,13,What is the purpose of an activation function in a neural network?,"It introduces non-linearity into a neural network. Without it, a multi-layer network would just be a linear model. Common functions are ReLU, Sigmoid, and Softmax."
Data Scientist,14,How would you explain a p-value to a non-technical stakeholder?,"A p-value tells you the probability of observing your results just by random chance, assuming your hypothesis is wrong. A small p-value (e.g., <0.05) suggests the result is statistically significant and not just a fluke."
Data Scientist,15,What is the difference between a generative and a discriminative model?,"A discriminative model learns the decision boundary between classes (P(Y|X)). A generative model learns the joint distribution of the data (P(X, Y)) and can be used to generate new data samples."
Data Scientist,16,What are dimensionality reduction techniques? Explain PCA.,Techniques to reduce the number of features in a dataset. PCA (Principal Component Analysis) is a popular method that transforms data into a new set of uncorrelated variables (principal components) that capture the maximum variance.
Data Scientist,17,How would you evaluate a clustering algorithm's performance?,"With labels, use external metrics like Adjusted Rand Index (ARI). Without labels, use internal metrics like Silhouette Coefficient, which measures how similar an object is to its own cluster compared to others."
Data Scientist,18,Explain what an embedding is in the context of NLP.,"An embedding is a dense vector representation of a word or sentence. It captures semantic meaning, so similar words have similar vectors. Examples: Word2Vec, GloVe."
Data Scientist,19,What is a SQL window function? Give an example.,A window function performs a calculation across a set of rows related to the current row without collapsing them. Example: `RANK() OVER (PARTITION BY department ORDER BY salary DESC)` to rank employees within each department.
Data Scientist,20,How do you approach a data science problem when the data is messy or incomplete?,"1. Understand the data and business goal. 2. Perform extensive EDA to profile the data issues. 3. Strategize cleaning (e.g., imputation, standardization). 4. Document all steps for reproducibility. 5. Iterate as modeling reveals new issues."
